College,Career,Class Nbr,Subject,Catalog Nbr,Title,Class Section,Course ID,Component,Associated Class,Component Units,Facility ID,Meeting Start,Meeting End,Standard Meeting Pattern,Last Name,Initials,Class Status,Enrollment Capacity,Instruction Mode
SCI,UGRD,3985,ASTR,101,Principles of Astronomy,1,360,LEC,1,3.00,LH345,11:00 AM,11:50 AM,MWF,Sandquist,E,A,80,P
SCI,UGRD,3989,ASTR,101,Principles of Astronomy,2,360,LEC,2,3.00,COM207,11:00 AM,12:15 PM,TR,Leonard,D,A,120,P
SCI,UGRD,3990,ASTR,101,Principles of Astronomy,3,360,LEC,3,3.00,ONLINE,,,,Rubin,K,A,300,ON
SCI,UGRD,3991,ASTR,101,Principles of Astronomy,4,360,LEC,4,3.00,BT161,02:00 PM,03:15 PM,TR,Leonard,D,A,180,P
SCI,UGRD,3993,ASTR,109,Astronomy Laboratory,1,362,LAB,1,1.00,PS256,09:00 AM,11:40 AM,M,,,A,24,P
SCI,UGRD,3994,ASTR,109,Astronomy Laboratory,2,362,LAB,2,1.00,PA215,10:00 AM,12:40 PM,M,,,A,25,P
SCI,UGRD,3995,ASTR,109,Astronomy Laboratory,3,362,LAB,3,1.00,PA215,09:00 AM,11:40 AM,R,,,A,25,P
SCI,UGRD,3996,ASTR,109,Astronomy Laboratory,4,362,LAB,4,1.00,PA215,06:00 PM,08:40 PM,M,,,A,25,P
SCI,UGRD,3997,ASTR,109,Astronomy Laboratory,5,362,LAB,5,1.00,PA215,09:00 AM,11:40 AM,T,,,A,25,P
SCI,UGRD,3998,ASTR,109,Astronomy Laboratory,7,362,LAB,7,1.00,PA215,12:00 PM,02:40 PM,T,,,A,25,P
SCI,UGRD,3999,ASTR,109,Astronomy Laboratory,8,362,LAB,8,1.00,PS256,09:00 AM,11:40 AM,W,,,A,24,P
SCI,UGRD,4000,ASTR,109,Astronomy Laboratory,9,362,LAB,9,1.00,PA215,10:00 AM,12:40 PM,W,,,A,25,P
SCI,UGRD,4001,ASTR,109,Astronomy Laboratory,10,362,LAB,10,1.00,PA215,12:00 PM,02:40 PM,R,,,A,25,P
SCI,UGRD,4003,ASTR,109,Astronomy Laboratory,12,362,LAB,12,1.00,PS256,11:00 AM,01:40 PM,F,,,A,24,P
SCI,UGRD,4004,ASTR,109,Astronomy Laboratory,13,362,LAB,13,1.00,PS256,11:00 AM,01:40 PM,T,,,A,24,P
SCI,UGRD,4005,ASTR,109,Astronomy Laboratory,14,362,LAB,14,1.00,PS256,11:00 AM,01:40 PM,R,,,A,24,P
SCI,UGRD,4006,ASTR,303,The Stellar Graveyard,1,37229,LLC,1,3.00,COM207,12:00 PM,12:50 PM,MWF,Windmiller,G,A,120,P
SCI,UGRD,4007,ASTR,310,Astrobiology,1,23171,LLC,1,3.00,ONLINE,,,,Welsh,W,A,350,ON
SCI,UGRD,4016,ASTR,320,Solar System Astronomy,1,11688,LED,1,3.00,GMCS328,12:30 PM,01:45 PM,TR,Rao Sudhakar,S,A,35,P
SCI,UGRD,4008,ASTR,440,Astrophysics of Stars,1,37859,LED,1,3.00,PS256,02:00 PM,02:50 PM,MWF,Sandquist,E,A,25,P
SCI,UGRD,9930,ASTR,450,Extragalactic Astronomy,2,39418,LED,2,3.00,PS256,09:30 AM,10:45 AM,TR,Rubin,K,A,25,P
SCI,UGRD,4010,ASTR,498A,Senior Project,1,372,SUP,1,1.00,,,,ARR,Orosz,J,A,1,P
SCI,UGRD,4011,ASTR,498B,Senior Project,1,373,SUP,1,2.00,,,,ARR,Orosz,J,A,1,P
SCI,UGRD,4012,ASTR,499,Special Study,1,374,SUP,1,3.00,,,,ARR,Orosz,J,A,1,P
SCI,GRAD,10901,ASTR,610,Binary Stars,1,378,LED,1,3.00,PA215,01:00 PM,02:15 PM,MW,Orosz,J,A,20,P
SCI,GRAD,4009,ASTR,680,Astronomical Techniques,1,15312,LED,1,3.00,PS256,02:00 PM,03:15 PM,TR,Quimby,R,A,25,P
SCI,GRAD,4013,ASTR,797,Research,1,386,SUP,1,3.00,,,,ARR,Orosz,J,A,1,P
SCI,GRAD,4014,ASTR,798,Special Study,1,387,SUP,1,3.00,,,,ARR,Orosz,J,A,1,P
SCI,GRAD,4015,ASTR,799A,Thesis,1,388,SUP,1,3.00,,,,ARR,Grad,O,A,1,P
SCI,GRAD,4426,ASTR,799B,Thesis Extension,1,389,NNT,1,0.00,,,,ARR,Grad,O,A,1,P
SCI,UGRD,6172,BIOL,100,General Biology,1,9598,LLC,1,3.00,ONLINE,,,,Bailey,T,A,470,ON
SCI,UGRD,6221,BIOL,100,General Biology,4,9598,LLC,4,3.00,AL201,02:00 PM,03:15 PM,T,Ekdale,E,A,500,HY
SCI,UGRD,6221,BIOL,100,General Biology,4,9598,LLC,4,3.00,ONLINE,,,,Ekdale,E,A,500,HY
SCI,UGRD,6222,BIOL,100,General Biology,5,9598,LLC,5,3.00,AL201,02:00 PM,03:15 PM,R,Lonjaret,J,A,500,HY
SCI,UGRD,6222,BIOL,100,General Biology,5,9598,LLC,5,3.00,ONLINE,,,,Lonjaret,J,A,500,HY
SCI,UGRD,6721,BIOL,100L,General Biology Lab,1,9600,LAB,1,1.00,PSFA377,11:00 AM,01:40 PM,M,,,A,26,P
SCI,UGRD,6721,BIOL,100L,General Biology Lab,1,9600,LAB,1,1.00,PSFA377,11:00 AM,01:40 PM,M,Bhaskaran,N,A,26,P
SCI,UGRD,6722,BIOL,100L,General Biology Lab,2,9600,LAB,2,1.00,PSFA376,11:00 AM,01:40 PM,M,,,A,26,P
SCI,UGRD,6722,BIOL,100L,General Biology Lab,2,9600,LAB,2,1.00,PSFA376,11:00 AM,01:40 PM,M,Bhaskaran,N,A,26,P
SCI,UGRD,6723,BIOL,100L,General Biology Lab,3,9600,LAB,3,1.00,PSFA375,11:00 AM,01:40 PM,M,,,A,26,P
